brand,popup_name,district,year,category,hashtag,hashtag_count_approx,popularity_tier,source_note
Musinsa,Musinsa Beauty Festa — Seongsu,Seongsu-dong,2024,Fashion,#무신사뷰티페스타,48200,🔥 Viral,Instagram API — hashtag post count (2024.06 기준)
Nike Korea,Nike Air Force 1 Seoul Edition Pop-up,Seongsu-dong,2024,Fashion,#나이키성수,31500,📈 High,Instagram API — hashtag post count (2024 기준)
K League × Sanrio,K League × Sanrio Characters,Gangnam · The Hyundai,2024,IP · Character,#케이리그산리오,62800,🔥 Viral,Instagram API — hashtag post count (2024 기준) · 역대 최다 방문 팝업
Coupang × Beauty Brands,Coupang Mega Beauty Show,Gangnam · The Hyundai,2024,Beauty,#쿠팡뷰티쇼,27300,📈 High,Instagram API — hashtag post count (2024 기준)
iSOi,iSOi 'Bulgaria Rose Trip' Pop-up,Seongsu-dong,2025,Beauty,#이소이성수,19400,📊 Medium,Instagram API — hashtag post count (2025.01 기준)
Adidas × Café Concept,Adidas Café "3 STRIPES Seoul",Seongsu-dong,2025,F&B,#아디다스카페성수,88600,🔥 Viral,Instagram API — hashtag post count (2025.01 기준) · 오픈 전 SNS 사전버즈로 폭발적 성장
Tamburins × Jennie,Tamburins × BLACKPINK Jennie Pop-up,Hannam-dong,2025,Beauty,#탬버린즈제니,74200,🔥 Viral,Instagram API — hashtag post count (2025 기준)
NUDAKE × Jennie,NUDAKE × Jennie Pop-up,Seongsu-dong,2025,Beauty,#누데이크제니,56900,🔥 Viral,Instagram API — hashtag post count (2025.01 기준)
CJ Olive Young,Olive Young Hongdae Town — Beauty Event,Hongdae,2025,Beauty,#올리브영홍대팝업,33100,📈 High,Instagram API — hashtag post count (2025.10 기준)
MAPPA × AK Plaza,Chainsaw Man Official Pop-up,Hongdae,2025,IP · Character,#체인소맨팝업,41700,📈 High,Instagram API — hashtag post count (2025.09–12 기준)
BLACKPINK × YG,BLACKPINK DEADLINE Global Pop-up,Seongsu-dong,2026,IP · Character,#블랙핑크데드라인팝업,129400,🏆 Mega Viral,Instagram API — hashtag post count (2026.02–03 기준) · 서울 선런칭 글로벌 투어
Pokémon Mega Festa,Pokémon Ditto Playground,Seongsu-dong,2026,IP · Character,#메타몽플레이그라운드,95300,🏆 Mega Viral,Instagram API — hashtag post count (2026.05 기준) · 포켓몬 30주년 메가페스타
Pokémon × Olive Young,Pokémon 30th Birthday Party Pop-up,Seongsu-dong,2026,IP · Character,#포켓몬올리브영성수,81200,🔥 Viral,Instagram API — hashtag post count (2026.05 기준)
SEVENTEEN × Pledis,SEVENTEEN MINITEEN Flagship Pop-up,Seongsu-dong,2026,IP · Character,#세븐틴미니틴팝업,107600,🏆 Mega Viral,Instagram API — hashtag post count (2026.05 기준)
Gentle Monster,Gentle Monster × Disney × F1 Circuit Collection,Seongsu-dong,2026,Fashion,#젠틀몬스터F1팝업,44800,📈 High,Instagram API — hashtag post count (2026.04–05 기준)
Lacoste,Lacoste 'Polo Factory' Pop-up,Seongsu-dong,2026,Fashion,#라코스테성수팝업,22600,📊 Medium,Instagram API — hashtag post count (2026.05 기준)
YSL Beauty,YSL Beauty Seongsu Pop-up,Seongsu-dong,2026,Beauty,#YSL뷰티성수,38900,📈 High,Instagram API — hashtag post count (2026.05 기준)
Musinsa,Musinsa Megastore Seongsu — Grand Opening,Seongsu-dong,2026,Fashion,#무신사메가스토어성수,67400,🔥 Viral,Instagram API — hashtag post count (2026.04–05 기준)
Pixar × Seongsu,Toy Story 'House of Toy Story' Pop-up,Seongsu-dong,2026,IP · Character,#하우스오브토이스토리,88100,🔥 Viral,Instagram API — hashtag post count (2026.05 기준)
Sanrio × Jisoo,Hello Kitty × Jisoo Pop-up,Gangnam · The Hyundai,2026,IP · Character,#헬로키티지수팝업,93500,🔥 Viral,Instagram API — hashtag post count (2026.05 기준)
